Density,leniency,index,performance
0,5,1,0.0
0,5,2,0.0
12,0,0,0.0
12,0,1,0.0
12,0,2,0.0
16,2,0,0.0
13,3,0,0.0
13,3,1,0.0
13,3,2,0.0
5,6,0,0.0
5,6,1,0.0
5,6,2,0.0
0,3,0,0.0
0,3,1,0.0
0,3,2,0.0
0,9,0,0.0
0,9,1,0.0
0,9,2,0.0
8,6,0,0.0
2,11,0,0.0
0,12,0,0.0
0,12,1,0.0
0,12,2,0.0
10,5,0,0.17894736842105252
3,5,0,0.0
3,5,1,0.0
3,5,2,0.0
5,8,0,0.0
5,8,1,0.0
5,8,2,0.09999999999999998
3,9,0,0.0
3,9,1,0.0
3,9,2,0.0
3,14,0,0.0
3,14,1,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.0
0,10,0,0.0
0,10,1,0.0
0,10,2,0.0
7,4,0,0.0
7,4,1,0.0
7,4,2,0.0
4,17,0,0.0
4,17,1,0.33684210526315794
5,4,0,0.0
5,4,1,0.0
5,4,2,0.7
12,1,0,0.0
12,1,1,0.0
12,1,2,0.0
13,2,0,0.0
13,2,1,0.0
13,2,2,0.0
3,10,0,0.0
3,10,1,0.0
3,10,2,0.0
2,6,0,0.0
2,6,1,0.0
2,6,2,0.30842105263157893
6,7,0,0.0
6,7,1,0.1473684210526316
3,16,0,0.0
3,16,1,0.47894736842105257
2,13,0,0.0
2,13,1,0.0
4,8,0,0.0
4,8,1,0.0
4,8,2,0.0
9,5,0,0.0
9,5,1,0.17894736842105252
9,5,2,0.16315789473684195
7,5,0,0.0
7,5,1,0.0
7,5,2,0.21842105263157885
16,0,0,0.0
16,0,1,0.0
0,15,0,0.0
4,7,0,0.0
4,7,1,0.0
4,7,2,0.0
3,6,0,0.0
3,6,1,0.0
3,6,2,0.0
11,4,0,0.11578947368421055
11,4,1,0.4473684210526315
3,7,0,0.0
3,7,1,0.09999999999999998
6,6,0,0.0
6,6,1,0.0
6,6,2,0.0
8,5,0,0.0
16,3,0,0.09999999999999998
7,6,0,0.0
7,6,1,0.0
4,10,0,0.0
0,2,0,0.0
0,2,1,0.0
0,2,2,0.0
0,0,0,0.0
14,0,0,0.0
14,0,1,0.0
14,0,2,0.09999999999999998
9,4,0,0.09999999999999998
9,4,1,0.55
9,4,2,0.33684210526315794
13,0,0,0.0
13,0,1,0.0
13,0,2,0.0
0,1,0,0.0
17,0,0,0.0
16,1,0,0.0
15,3,0,0.0
13,1,0,0.0
15,2,0,0.09999999999999998
7,7,0,0.0
3,11,0,0.0
13,5,0,0.0
11,1,0,0.0
2,10,0,0.12368421052631584
1,12,0,0.4157894736842106
