linearity,leniency,index,performance
6,1,2,0.0
9,6,0,0.0
9,6,1,0.0
9,6,2,0.0
12,0,0,0.0
12,0,1,0.0
12,0,2,0.0
1,8,0,0.0
1,8,1,0.0
1,8,2,0.0
1,6,0,0.0
1,6,1,0.0
1,6,2,0.0
5,6,0,0.0
5,6,1,0.0
5,6,2,0.0
8,3,0,0.0
8,3,1,0.0
8,3,2,0.9642857142857143
5,0,0,0.0
5,0,1,0.0
5,0,2,0.0
8,2,0,0.0
8,2,1,0.0
8,2,2,0.0
9,4,0,0.0
9,4,1,0.0
9,4,2,0.9642857142857143
0,9,0,0.0
0,9,1,0.0
0,9,2,0.0
7,13,0,0.0
7,13,1,0.0
7,13,2,0.5714285714285714
2,7,0,0.0
2,7,1,0.0
2,7,2,0.0
8,11,0,0.0
8,11,1,0.0
8,11,2,0.0
13,1,0,0.0
13,1,1,0.0
13,1,2,0.9642857142857143
11,1,0,0.0
11,1,1,0.0
11,1,2,0.9642857142857143
12,5,0,0.0
12,5,1,0.0
12,5,2,0.0
3,9,0,0.0
3,9,1,0.0
3,9,2,0.0
5,9,0,0.0
5,9,1,0.0
5,9,2,0.0
12,7,0,0.0
12,7,1,0.0
12,7,2,0.9642857142857143
17,0,0,0.0
17,0,1,0.0
17,0,2,0.9642857142857143
6,9,0,0.0
6,9,1,0.0
6,9,2,0.0
5,16,0,0.0
5,16,1,0.0
5,16,2,0.0
12,3,0,0.0
12,3,1,0.0
12,3,2,0.0
8,9,0,0.0
8,9,1,0.0
8,9,2,0.0
7,8,0,0.0
7,8,1,0.0
7,8,2,0.0
11,8,0,0.0
11,8,1,0.0
11,8,2,0.2142857142857143
8,6,0,0.0
8,6,1,0.0
8,6,2,0.7142857142857143
4,0,0,0.0
4,0,1,0.0
4,0,2,0.5
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
12,2,0,0.0
12,2,1,0.0
12,2,2,0.0
12,4,0,0.0
12,4,1,0.0
12,4,2,0.0
8,10,0,0.0
8,10,1,0.0
8,10,2,0.3214285714285714
8,0,0,0.0
8,0,1,0.0
8,0,2,0.0
14,4,0,0.0
14,4,1,0.0
14,4,2,0.0
9,1,0,0.0
9,1,1,0.0
9,1,2,0.0
11,0,0,0.0
11,0,1,0.0
11,0,2,0.9642857142857143
10,0,0,0.0
10,0,1,0.0
10,0,2,0.9642857142857143
14,2,0,0.0
14,2,1,0.0
14,2,2,0.0
5,11,0,0.0
5,11,1,0.0
5,11,2,0.75
15,5,0,0.0
15,5,1,0.0
15,5,2,0.9642857142857143
8,12,0,0.0
8,12,1,0.0
8,12,2,0.0
7,15,0,0.0
7,15,1,0.0
7,15,2,0.1785714285714286
15,3,0,0.0
15,3,1,0.0
15,3,2,0.9642857142857143
10,12,0,0.0
10,12,1,0.0
10,12,2,0.75
4,9,0,0.0
4,9,1,0.0
4,9,2,0.0
2,5,0,0.0
2,5,1,0.0
2,5,2,0.0
6,10,0,0.0
6,10,1,0.0
6,10,2,0.0
8,7,0,0.0
8,7,1,0.0
8,7,2,0.0
3,12,0,0.0
3,12,1,0.0
3,12,2,0.0
5,12,0,0.0
5,12,1,0.0
5,12,2,0.3214285714285714
2,11,0,0.0
2,11,1,0.0
2,11,2,0.0
4,12,0,0.0
4,12,1,0.0
4,12,2,0.0
16,7,0,0.0
16,7,1,0.0
16,7,2,0.0
2,8,0,0.0
2,8,1,0.0
2,8,2,0.0
9,7,0,0.0
9,7,1,0.0
9,7,2,0.0
11,5,0,0.0
11,5,1,0.0
11,5,2,0.9642857142857143
14,6,0,0.0
14,6,1,0.0
14,6,2,0.9642857142857143
5,14,0,0.0
5,14,1,0.0
5,14,2,0.2857142857142857
17,2,0,0.0
17,2,1,0.0
17,2,2,0.0
10,7,0,0.0
10,7,1,0.0
10,7,2,0.0
11,9,0,0.0
11,9,1,0.0
11,9,2,0.0
12,8,0,0.0
12,8,1,0.0
12,8,2,0.2857142857142857
15,7,0,0.0
15,7,1,0.0
15,7,2,0.0
16,1,0,0.0
16,1,1,0.0
16,1,2,0.0
3,7,0,0.0
3,7,1,0.0
3,7,2,0.0
10,6,0,0.0
10,6,1,0.0
10,6,2,0.0
14,8,0,0.0
14,8,1,0.0
14,8,2,0.0
9,8,0,0.0
9,8,1,0.0
9,8,2,0.0
8,8,0,0.0
8,8,1,0.0
8,8,2,0.0
2,10,0,0.0
2,10,1,0.0
2,10,2,0.0
16,11,0,0.0
16,11,1,0.0
16,11,2,0.0
13,10,0,0.0
13,10,1,0.0
13,10,2,0.0
10,8,0,0.0
10,8,1,0.0
10,8,2,0.0
5,13,0,0.0
5,13,1,0.0
5,13,2,0.4642857142857143
13,14,0,0.0
13,14,1,0.0
13,14,2,0.3214285714285714
4,16,0,0.0
4,16,1,0.0
4,16,2,0.0
15,4,0,0.0
15,4,1,0.0
15,4,2,0.0
4,10,0,0.0
4,10,1,0.0
4,10,2,0.0
5,10,0,0.0
5,10,1,0.0
5,10,2,0.0
4,11,0,0.0
4,11,1,0.0
4,11,2,0.0
22,5,0,0.0
22,5,1,0.0
22,5,2,0.9642857142857143
14,7,0,0.0
14,7,1,0.0
14,7,2,0.0
7,11,0,0.0
7,11,1,0.0
7,11,2,0.0
18,6,0,0.0
18,6,1,0.0
18,6,2,0.0
4,17,0,0.0
4,17,1,0.0
4,17,2,0.0
6,13,0,0.0
6,13,1,0.0
6,13,2,0.5714285714285714
17,8,0,0.0
17,8,1,0.0
17,8,2,0.0
7,0,0,0.0
7,0,1,0.0
7,0,2,0.0
9,10,0,0.0
9,10,1,0.0
9,10,2,0.0
9,9,0,0.0
9,9,1,0.0
9,9,2,0.0
19,2,0,0.0
19,2,1,0.0
19,2,2,0.9642857142857143
3,11,0,0.0
3,11,1,0.0
3,11,2,0.0
