density,leniency,index,performance
19,8,0,0.0357142857142857
11,4,0,0.3928571428571429
11,4,1,0.4285714285714286
11,4,2,0.8214285714285714
18,6,0,0.4642857142857143
18,6,1,0.75
18,6,2,0.5714285714285714
15,6,0,0.0
15,6,1,0.1071428571428571
15,6,2,0.8214285714285714
16,2,0,0.0
16,2,1,0.0
16,2,2,0.6071428571428572
8,5,0,0.5714285714285714
8,5,1,0.6785714285714286
8,5,2,0.8214285714285714
13,4,0,0.2142857142857143
13,4,1,0.4285714285714286
13,4,2,0.5714285714285714
6,4,0,0.7142857142857143
6,4,1,0.8214285714285714
27,4,0,0.0
27,4,1,0.25
27,4,2,0.4285714285714286
21,1,0,0.3571428571428571
21,1,1,0.8214285714285714
21,1,2,0.75
6,6,0,0.5357142857142857
6,6,1,0.75
9,3,0,0.0
9,3,1,0.3571428571428571
9,3,2,0.6428571428571428
17,4,0,0.0
17,4,1,0.0
17,4,2,0.3928571428571429
28,2,0,0.4642857142857143
28,2,1,0.8214285714285714
28,2,2,0.6428571428571428
27,0,0,0.1428571428571429
27,0,1,0.5714285714285714
27,0,2,0.8214285714285714
10,4,0,0.0
10,4,1,0.3571428571428571
10,4,2,0.7142857142857143
10,0,0,0.3571428571428571
10,0,1,0.6785714285714286
10,0,2,0.6428571428571428
31,5,0,0.75
31,5,1,0.9642857142857143
14,3,0,0.25
14,3,1,0.6071428571428572
14,3,2,0.6428571428571428
24,3,0,0.4642857142857143
24,3,1,0.6428571428571428
24,3,2,0.6071428571428572
10,1,0,0.0
10,1,1,0.1428571428571429
10,1,2,0.7142857142857143
25,8,0,0.75
18,4,0,0.0
18,4,1,0.0
18,4,2,0.7142857142857143
26,2,0,0.0
26,2,1,0.0714285714285714
26,2,2,0.2857142857142857
15,3,0,0.0
15,3,1,0.1785714285714286
15,3,2,0.75
11,3,0,0.0714285714285714
11,3,1,0.0714285714285714
11,3,2,0.8214285714285714
23,4,0,0.0357142857142857
23,4,1,0.2142857142857143
23,4,2,0.8214285714285714
31,1,0,0.6428571428571428
31,1,1,0.8214285714285714
31,1,2,0.8214285714285714
21,4,0,0.4285714285714286
21,4,1,0.4285714285714286
21,4,2,0.8214285714285714
13,1,0,0.1071428571428571
13,1,1,0.2142857142857143
13,1,2,0.4642857142857143
25,3,0,0.3571428571428571
25,3,1,0.7857142857142857
25,3,2,0.7142857142857143
15,5,0,0.0357142857142857
15,5,1,0.5357142857142857
15,5,2,0.75
20,0,0,0.0
20,0,1,0.2857142857142857
20,0,2,0.4285714285714286
28,3,0,0.5357142857142857
28,3,1,0.5357142857142857
28,3,2,0.6785714285714286
32,5,0,0.0
22,1,0,0.2857142857142857
22,1,1,0.6785714285714286
22,1,2,0.8214285714285714
13,2,0,0.0
13,2,1,0.0714285714285714
13,2,2,0.7142857142857143
12,7,0,0.5714285714285714
12,7,1,0.8214285714285714
12,7,2,0.7142857142857143
12,2,0,0.0
12,2,1,0.1785714285714286
12,2,2,0.4642857142857143
28,5,0,0.0
28,5,1,0.0
28,5,2,0.5
14,1,0,0.0
14,1,1,0.1785714285714286
14,1,2,0.2142857142857143
19,1,0,0.0
19,1,1,0.5
19,1,2,0.6428571428571428
24,2,0,0.2857142857142857
24,2,1,0.3214285714285714
24,2,2,0.6071428571428572
9,5,0,0.4642857142857143
9,5,1,0.4642857142857143
9,5,2,0.6428571428571428
20,2,0,0.0
20,2,1,0.1428571428571429
20,2,2,0.6071428571428572
27,3,0,0.4285714285714286
27,3,1,0.5714285714285714
27,3,2,0.9642857142857143
