density,leniency,index,performance
12,8,0,0.0
12,8,1,0.0
12,8,2,0.8214285714285714
21,7,0,0.0
21,7,1,0.0
21,7,2,0.0
26,1,0,0.0
26,1,1,0.0
26,1,2,0.4642857142857143
21,0,0,0.0
21,0,1,0.0
21,0,2,0.3571428571428571
7,3,0,0.0
7,3,1,0.0
7,3,2,0.7142857142857143
13,2,0,0.0
13,2,1,0.0
13,2,2,0.6428571428571428
33,4,0,0.0
33,4,1,0.0
33,4,2,0.7857142857142857
21,3,0,0.0
21,3,1,0.0
21,3,2,0.5357142857142857
13,7,0,0.0
13,7,1,0.0
13,7,2,0.2857142857142857
22,3,0,0.0
22,3,1,0.0
22,3,2,0.7142857142857143
9,6,0,0.0
9,6,1,0.0
9,6,2,0.0
25,4,0,0.0
25,4,1,0.0
25,4,2,0.6428571428571428
38,2,0,0.0
38,2,1,0.0
38,2,2,0.7142857142857143
13,4,0,0.0
13,4,1,0.0
13,4,2,0.1071428571428571
5,0,0,0.0
5,0,1,0.0
5,0,2,0.6785714285714286
35,4,0,0.0
35,4,1,0.0
35,4,2,0.7857142857142857
30,4,0,0.0
30,4,1,0.0
30,4,2,0.75
18,0,0,0.0
18,0,1,0.0
18,0,2,0.25
24,2,0,0.0
24,2,1,0.0
24,2,2,0.7142857142857143
12,5,0,0.0
12,5,1,0.0
12,5,2,0.6071428571428572
33,5,0,0.0
33,5,1,0.0
33,5,2,0.6071428571428572
22,0,0,0.0
22,0,1,0.0
22,0,2,0.6785714285714286
8,0,0,0.0
8,0,1,0.0
8,0,2,0.5714285714285714
7,7,0,0.0
7,7,1,0.0
7,7,2,0.3571428571428571
14,0,0,0.0
14,0,1,0.0
14,0,2,0.4642857142857143
7,5,0,0.0
7,5,1,0.0
7,5,2,0.6071428571428572
8,3,0,0.0
8,3,1,0.0
8,3,2,0.2142857142857143
14,2,0,0.0
14,2,1,0.0
14,2,2,0.75
30,1,0,0.0
30,1,1,0.0
30,1,2,0.75
29,4,0,0.0
29,4,1,0.0
29,4,2,0.75
16,0,0,0.0
16,0,1,0.0
16,0,2,0.3928571428571429
26,5,0,0.0
26,5,1,0.0
26,5,2,0.7857142857142857
20,0,0,0.0
20,0,1,0.0
20,0,2,0.6428571428571428
16,4,0,0.0
16,4,1,0.0
16,4,2,0.6428571428571428
28,3,0,0.0
28,3,1,0.0
28,3,2,0.8571428571428572
23,2,0,0.0
23,2,1,0.0
23,2,2,0.75
17,4,0,0.0
17,4,1,0.0
17,4,2,0.6785714285714286
19,0,0,0.0
19,0,1,0.0
19,0,2,0.4642857142857143
32,0,0,0.0
32,0,1,0.0
32,0,2,0.5
12,3,0,0.0
12,3,1,0.0
12,3,2,0.6428571428571428
14,5,0,0.0
14,5,1,0.0
14,5,2,0.6785714285714286
29,0,0,0.0
29,0,1,0.0
29,0,2,0.8214285714285714
23,3,0,0.0
23,3,1,0.0
23,3,2,0.25
5,6,0,0.0
5,6,1,0.0
5,6,2,0.3571428571428571
14,4,0,0.0
14,4,1,0.0
14,4,2,0.75
39,1,0,0.0
39,1,1,0.0
39,1,2,0.5357142857142857
37,6,0,0.0
37,6,1,0.0
37,6,2,0.6428571428571428
10,0,0,0.0
10,0,1,0.0
10,0,2,0.6428571428571428
21,4,0,0.0
21,4,1,0.0
21,4,2,0.2857142857142857
18,1,0,0.0
18,1,1,0.0
18,1,2,0.0
28,1,0,0.0
28,1,1,0.0
28,1,2,0.3571428571428571
22,1,0,0.0
22,1,1,0.0
22,1,2,0.5714285714285714
6,1,0,0.0
6,1,1,0.0
6,1,2,0.7142857142857143
12,0,0,0.0
12,0,1,0.0
12,0,2,0.4642857142857143
33,0,0,0.0
33,0,1,0.0
33,0,2,0.4642857142857143
16,1,0,0.0
16,1,1,0.0
16,1,2,0.75
25,1,0,0.0
25,1,1,0.0
25,1,2,0.75
40,7,0,0.0
40,7,1,0.0
40,7,2,0.7142857142857143
17,6,0,0.0
17,6,1,0.0
17,6,2,0.6785714285714286
16,6,0,0.0
16,6,1,0.0
16,6,2,0.5714285714285714
40,9,0,0.0
40,9,1,0.0
40,9,2,0.8214285714285714
28,5,0,0.0
28,5,1,0.0
28,5,2,0.6071428571428572
15,4,0,0.0
15,4,1,0.0
15,4,2,0.5357142857142857
16,5,0,0.0
16,5,1,0.0
16,5,2,0.5
37,5,0,0.0
37,5,1,0.0
37,5,2,0.7142857142857143
31,5,0,0.0
31,5,1,0.0
31,5,2,0.3571428571428571
38,7,0,0.0
38,7,1,0.0
38,7,2,0.75
7,0,0,0.0
7,0,1,0.0
7,0,2,0.4642857142857143
21,1,0,0.0
21,1,1,0.0
21,1,2,0.6785714285714286
30,5,0,0.0
30,5,1,0.0
30,5,2,0.0
40,5,0,0.0
40,5,1,0.0
40,5,2,0.5
29,3,0,0.0
29,3,1,0.0
29,3,2,0.7142857142857143
11,5,0,0.0
11,5,1,0.0
11,5,2,0.0714285714285714
18,5,0,0.0
18,5,1,0.0
18,5,2,0.5357142857142857
6,2,0,0.0
6,2,1,0.0
6,2,2,0.6071428571428572
33,3,0,0.0
33,3,1,0.0
33,3,2,0.75
22,4,0,0.0
22,4,1,0.0
22,4,2,0.75
28,2,0,0.0
28,2,1,0.0
28,2,2,0.3214285714285714
21,5,0,0.0
21,5,1,0.0
21,5,2,0.75
23,5,0,0.0
23,5,1,0.0
23,5,2,0.75
31,6,0,0.0
31,6,1,0.0
31,6,2,0.7142857142857143
27,2,0,0.0
27,2,1,0.0
27,2,2,0.6428571428571428
30,6,0,0.0
30,6,1,0.0
30,6,2,0.0
40,6,0,0.0
40,6,1,0.0
40,6,2,0.7142857142857143
35,6,0,0.0
35,6,1,0.0
35,6,2,0.7142857142857143
35,1,0,0.0
35,1,1,0.0
35,1,2,0.7142857142857143
18,6,0,0.0
18,6,1,0.0
18,6,2,0.5714285714285714
14,6,0,0.0
14,6,1,0.0
14,6,2,0.5714285714285714
31,3,0,0.0
31,3,1,0.0
31,3,2,0.75
5,1,0,0.0
5,1,1,0.0
5,1,2,0.3214285714285714
9,5,0,0.0
9,5,1,0.0
9,5,2,0.0714285714285714
12,6,0,0.0
12,6,1,0.0
12,6,2,0.5714285714285714
24,1,0,0.0
24,1,1,0.0
24,1,2,0.6785714285714286
39,7,0,0.0
39,7,1,0.0
39,7,2,0.7142857142857143
38,6,0,0.0
38,6,1,0.0
38,6,2,0.6428571428571428
31,1,0,0.0
31,1,1,0.0
31,1,2,0.3571428571428571
32,4,0,0.0
32,4,1,0.0
32,4,2,0.7142857142857143
27,5,0,0.0
27,5,1,0.0
27,5,2,0.8214285714285714
27,8,0,0.0
27,8,1,0.0
27,8,2,0.6785714285714286
24,4,0,0.0
24,4,1,0.0
24,4,2,0.3214285714285714
24,6,0,0.0
24,6,1,0.0
24,6,2,0.5
10,3,0,0.0
10,3,1,0.0
10,3,2,0.6785714285714286
31,4,0,0.0
31,4,1,0.0
31,4,2,0.75
9,4,0,0.0
9,4,1,0.0
9,4,2,0.0357142857142857
5,2,0,0.0
5,2,1,0.0
5,2,2,0.8214285714285714
34,5,0,0.0
34,5,1,0.0
34,5,2,0.7142857142857143
27,6,0,0.0
27,6,1,0.0
27,6,2,0.0
36,7,0,0.0
36,7,1,0.0
36,7,2,0.7142857142857143
30,8,0,0.0
30,8,1,0.0
30,8,2,0.5357142857142857
5,4,0,0.0
5,4,1,0.0
5,4,2,0.6785714285714286
27,0,0,0.0
27,0,1,0.0
27,0,2,0.8571428571428572
32,5,0,0.0
32,5,1,0.0
32,5,2,0.5714285714285714
27,7,0,0.0
27,7,1,0.0
27,7,2,0.4285714285714286
36,6,0,0.0
36,6,1,0.0
36,6,2,0.75
37,7,0,0.0
37,7,1,0.0
37,7,2,0.7142857142857143
36,3,0,0.0
36,3,1,0.0
36,3,2,0.8214285714285714
10,5,0,0.0
10,5,1,0.0
10,5,2,0.0
25,5,0,0.0
25,5,1,0.0
25,5,2,0.7142857142857143
20,8,0,0.0
20,8,1,0.0
20,8,2,0.7857142857142857
20,6,0,0.0
20,6,1,0.0
20,6,2,0.6785714285714286
22,6,0,0.0
22,6,1,0.0
22,6,2,0.75
32,3,0,0.0
32,3,1,0.0
32,3,2,0.7142857142857143
22,7,0,0.0
22,7,1,0.0
22,7,2,0.8928571428571429
6,7,0,0.0
6,7,1,0.0
6,7,2,0.75
22,5,0,0.0
22,5,1,0.0
22,5,2,0.25
19,5,0,0.0
19,5,1,0.0
19,5,2,0.6785714285714286
26,6,0,0.0
26,6,1,0.0
26,6,2,0.4642857142857143
28,4,0,0.0
28,4,1,0.0
28,4,2,0.7857142857142857
34,7,0,0.0
34,7,1,0.0
34,7,2,0.7142857142857143
23,6,0,0.0
23,6,1,0.0
23,6,2,0.7857142857142857
32,8,0,0.0
32,8,1,0.0
32,8,2,0.7857142857142857
21,6,0,0.0
21,6,1,0.0
21,6,2,0.6428571428571428
34,4,0,0.0
34,4,1,0.0
34,4,2,0.6071428571428572
35,2,0,0.0
35,2,1,0.0
35,2,2,0.5357142857142857
5,5,0,0.0
5,5,1,0.0
5,5,2,0.1071428571428571
11,4,0,0.0
11,4,1,0.0
11,4,2,0.8214285714285714
35,3,0,0.0
35,3,1,0.0
35,3,2,0.75
39,2,0,0.0
39,2,1,0.0
39,2,2,0.5357142857142857
26,8,0,0.0
26,8,1,0.0
26,8,2,0.3214285714285714
20,7,0,0.0
20,7,1,0.0
20,7,2,0.5
31,0,0,0.0
31,0,1,0.0
31,0,2,0.5714285714285714
