Density,leniency,index,performance
9,1,0,0.0
9,1,1,0.0
9,1,2,0.2894736842105263
1,13,0,0.0
1,13,1,0.0
1,13,2,2.0
1,5,0,0.0
1,5,1,0.0
1,5,2,0.0
5,9,0,0.0
5,9,1,0.0
5,9,2,4.621052631578947
1,8,0,0.0
1,8,1,0.0
1,8,2,0.0
11,1,0,0.0
11,1,1,0.0
11,1,2,2.0
4,7,0,0.0
4,7,1,0.0
4,7,2,0.0
2,1,0,0.0
2,1,1,0.0
2,1,2,0.12368421052631584
1,3,0,0.0
1,3,1,0.0
1,3,2,0.0
8,2,0,0.0
8,2,1,0.0
8,2,2,0.21842105263157885
2,13,0,0.0
2,13,1,0.0
2,13,2,2.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.3131578947368422
4,4,0,0.0
4,4,1,0.0
4,4,2,0.09999999999999998
3,7,0,0.0
3,7,1,0.0
3,7,2,2.0
12,3,0,0.0
12,3,1,0.0
12,3,2,0.0
1,15,0,0.0
1,15,1,0.0
1,15,2,0.0
0,12,0,0.0
0,12,1,0.0
0,12,2,2.0
6,4,0,0.0
6,4,1,0.0
6,4,2,1.0
2,14,0,0.0
2,14,1,0.0
2,14,2,0.12368421052631584
14,1,0,0.0
14,1,1,0.0
14,1,2,0.0
6,5,0,0.0
6,5,1,0.0
6,5,2,4.0
3,10,0,0.0
3,10,1,0.0
3,10,2,0.0
8,3,0,0.0
8,3,1,0.0
8,3,2,3.0
3,8,0,0.0
3,8,1,0.0
3,8,2,0.0
3,9,0,0.0
3,9,1,0.0
3,9,2,4.0
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
12,2,0,0.0
12,2,1,0.0
12,2,2,2.0
1,6,0,0.0
1,6,1,0.0
1,6,2,2.0
7,6,0,0.0
7,6,1,0.0
7,6,2,2.1
4,18,0,0.43157894736842106
4,18,1,0.43157894736842106
4,18,2,3.2421052631578946
0,9,0,0.0
0,9,1,0.0
0,9,2,2.0
0,11,0,0.0
0,11,1,0.0
0,11,2,2.0
13,4,0,0.0
13,4,1,0.0
13,4,2,6.194736842105263
1,12,0,0.0
1,12,1,0.0
1,12,2,2.123684210526316
7,7,0,1.0
7,7,1,1.0
7,7,2,2.0
13,3,0,0.0
13,3,1,0.0
13,3,2,2.0
3,12,0,0.0
3,12,1,0.0
3,12,2,1.0
2,7,0,0.0
2,7,1,0.0
2,7,2,2.0
4,14,0,0.0
4,14,1,0.0
4,14,2,3.0
4,10,0,0.0
4,10,1,0.0
4,10,2,2.0
3,11,0,0.0
3,11,1,0.0
3,11,2,2.6210526315789475
3,16,0,0.0
3,16,1,0.0
3,16,2,1.1355263157894737
5,12,0,0.2421052631578947
5,12,1,0.2421052631578947
5,12,2,3.9368421052631577
8,6,0,0.0
8,6,1,0.0
8,6,2,4.0
4,12,0,0.0
4,12,1,0.0
4,12,2,2.0
12,5,0,1.0
12,5,1,1.0
12,5,2,4.0
7,10,0,1.0
7,10,1,1.1
7,10,2,4.621052631578947
7,11,0,1.0
7,11,1,1.0
7,11,2,4.703947368421052
6,10,0,0.0
6,10,1,0.0
6,10,2,6.621052631578947
4,15,0,0.0
4,15,1,0.0
4,15,2,2.431578947368421
8,8,0,0.0
8,8,1,0.0
8,8,2,4.407894736842105
11,3,0,0.0
11,3,1,0.0
11,3,2,4.0
7,12,0,2.0
7,12,1,2.0
7,12,2,4.7631578947368425
6,7,0,0.0
6,7,1,0.0
6,7,2,2.218421052631579
11,5,0,0.0
11,5,1,0.0
11,5,2,4.163157894736842
1,0,0,0.0
1,0,1,0.0
1,0,2,0.0
9,7,0,0.0
9,7,1,0.0
9,7,2,6.881578947368421
10,6,0,1.0
10,6,1,1.0
10,6,2,4.0
11,2,0,0.0
11,2,1,0.0
11,2,2,2.0
9,6,0,0.0
9,6,1,1.0
9,6,2,3.2421052631578946
10,3,0,0.0
10,3,1,0.0
10,3,2,2.1710526315789473
8,9,0,1.0
8,9,1,1.0
8,9,2,5.715789473684211
1,10,0,0.0
1,10,1,0.0
1,10,2,2.0
5,5,0,0.0
5,5,1,0.0
5,5,2,2.0
17,0,0,0.0
17,0,1,0.0
17,0,2,2.4789473684210526
11,4,0,0.0
11,4,1,0.0
11,4,2,4.881578947368421
4,13,0,0.0
4,13,1,0.0
4,13,2,4.0
7,5,0,0.0
7,5,1,0.0
7,5,2,4.83421052631579
5,10,0,0.0
5,10,1,0.0
5,10,2,2.2421052631578946
11,6,0,1.0
11,6,1,1.0
11,6,2,4.0
7,8,0,0.0
7,8,1,0.0
7,8,2,6.182894736842105
12,6,0,1.0
12,6,1,1.0
12,6,2,5.810526315789474
8,7,0,0.0
8,7,1,0.0
8,7,2,6.194736842105263
13,0,0,0.0
13,0,1,0.0
13,0,2,3.4789473684210526
6,11,0,0.0
6,11,1,0.0
6,11,2,6.621052631578947
6,12,0,1.0
6,12,1,1.0
6,12,2,4.0
8,10,0,1.3486842105263157
8,10,1,1.3486842105263157
8,10,2,7.8578947368421055
2,12,0,0.0
2,12,1,0.0
2,12,2,4.1
12,4,0,0.0
12,4,1,0.0
12,4,2,4.0
10,5,0,0.0
10,5,1,0.0
10,5,2,3.0
0,0,0,0.0
0,0,1,0.0
0,0,2,2.0
14,2,0,0.0
14,2,1,0.0
14,2,2,6.147368421052631
0,1,0,0.0
0,1,1,0.0
0,1,2,1.0
5,13,0,0.5973684210526315
5,13,1,0.5973684210526315
5,13,2,5.447368421052632
10,7,0,1.0
10,7,1,1.0
10,7,2,8.289473684210526
7,9,0,1.0
7,9,1,1.0
7,9,2,4.905263157894737
11,7,0,1.1157894736842104
11,7,1,1.1157894736842104
