density,leniency,index,performance
13,0,1,0.0
13,0,2,0.8214285714285714
28,2,0,0.0
28,2,1,0.0
28,2,2,0.3571428571428571
18,4,0,0.0
18,4,1,0.0
18,4,2,0.8214285714285714
14,4,0,0.0
14,4,1,0.0
14,4,2,0.5714285714285714
27,7,0,0.0
27,7,1,0.0
27,7,2,0.8214285714285714
12,3,0,0.0
12,3,1,0.0
12,3,2,0.5357142857142857
33,2,0,0.0
33,2,1,0.0
33,2,2,0.75
16,5,0,0.0
16,5,1,0.0
16,5,2,0.5
20,9,0,0.0
20,9,1,0.0
20,9,2,0.0714285714285714
29,3,0,0.0
29,3,1,0.0
29,3,2,0.4642857142857143
31,7,0,0.0
31,7,1,0.0
31,7,2,0.7857142857142857
12,0,0,0.0
12,0,1,0.0
12,0,2,0.6785714285714286
11,8,0,0.0
11,8,1,0.0
11,8,2,0.8214285714285714
33,1,0,0.0
33,1,1,0.0
33,1,2,0.3571428571428571
26,7,0,0.0
26,7,1,0.0
26,7,2,0.6071428571428572
25,3,0,0.0
25,3,1,0.0
25,3,2,0.7857142857142857
28,1,0,0.0
28,1,1,0.0
28,1,2,0.6785714285714286
17,3,0,0.0
17,3,1,0.0
17,3,2,0.5357142857142857
30,6,0,0.0
30,6,1,0.0
30,6,2,0.7857142857142857
6,0,0,0.0
6,0,1,0.0
6,0,2,0.7142857142857143
11,2,0,0.0
11,2,1,0.0
11,2,2,0.6428571428571428
33,3,0,0.0
33,3,1,0.0
33,3,2,0.6785714285714286
9,6,0,0.0
9,6,1,0.0
9,6,2,0.8214285714285714
25,6,0,0.0
25,6,1,0.0
25,6,2,0.6071428571428572
40,0,0,0.0
40,0,1,0.0
40,0,2,0.8214285714285714
15,0,0,0.0
15,0,1,0.0
15,0,2,0.6428571428571428
25,1,0,0.0
25,1,1,0.0
25,1,2,0.8214285714285714
23,4,0,0.0
23,4,1,0.0
23,4,2,0.25
7,1,0,0.0
7,1,1,0.0
7,1,2,0.7142857142857143
6,4,0,0.0
6,4,1,0.0
6,4,2,0.8214285714285714
23,3,0,0.0
23,3,1,0.0
23,3,2,0.6785714285714286
26,8,0,0.0
26,8,1,0.0
26,8,2,0.6785714285714286
24,5,0,0.0
24,5,1,0.0
24,5,2,0.7142857142857143
19,2,0,0.0
19,2,1,0.0
19,2,2,0.7142857142857143
29,6,0,0.0
29,6,1,0.0
29,6,2,0.8214285714285714
32,6,0,0.0
32,6,1,0.0
32,6,2,0.7857142857142857
17,1,0,0.0
17,1,1,0.0
17,1,2,0.25
26,10,0,0.0
26,10,1,0.0
26,10,2,0.8214285714285714
24,3,0,0.0
24,3,1,0.0
24,3,2,0.75
7,2,0,0.0
7,2,1,0.0
7,2,2,0.8214285714285714
15,2,0,0.0
15,2,1,0.0
15,2,2,0.8214285714285714
9,0,0,0.0
9,0,1,0.0
9,0,2,0.4642857142857143
10,2,0,0.0
10,2,1,0.0
10,2,2,0.8214285714285714
27,1,0,0.0
27,1,1,0.0
27,1,2,0.8214285714285714
30,4,0,0.0
30,4,1,0.0
30,4,2,0.3571428571428571
33,6,0,0.0
33,6,1,0.0
33,6,2,0.8214285714285714
15,4,0,0.0
15,4,1,0.0
15,4,2,0.4285714285714286
27,0,0,0.0
27,0,1,0.0
27,0,2,0.5
16,3,0,0.0
16,3,1,0.0
16,3,2,0.6071428571428572
17,0,0,0.0
17,0,1,0.0
17,0,2,0.8214285714285714
21,4,0,0.0
21,4,1,0.0
21,4,2,0.8214285714285714
31,5,0,0.0
31,5,1,0.0
31,5,2,0.7142857142857143
24,4,0,0.0
24,4,1,0.0
24,4,2,0.5357142857142857
31,8,0,0.0
31,8,1,0.0
31,8,2,0.8214285714285714
23,1,0,0.0
23,1,1,0.0
23,1,2,0.8214285714285714
15,7,0,0.0
15,7,1,0.0
15,7,2,0.8214285714285714
21,0,0,0.0
21,0,1,0.0
21,0,2,0.8214285714285714
13,5,0,0.0
13,5,1,0.0
13,5,2,0.4642857142857143
28,3,0,0.0
28,3,1,0.0
28,3,2,0.6785714285714286
22,6,0,0.0
22,6,1,0.0
22,6,2,0.3214285714285714
13,4,0,0.0
13,4,1,0.0
13,4,2,0.6428571428571428
18,9,0,0.0
18,9,1,0.0
18,9,2,0.6071428571428572
16,0,0,0.0
16,0,1,0.0
16,0,2,0.8214285714285714
12,5,0,0.0
12,5,1,0.0
12,5,2,0.3214285714285714
21,5,0,0.0
21,5,1,0.0
21,5,2,0.8214285714285714
5,1,0,0.0
5,1,1,0.0
5,1,2,0.4642857142857143
5,3,0,0.0
5,3,1,0.0
5,3,2,0.7142857142857143
10,6,0,0.0
10,6,1,0.0
10,6,2,0.5714285714285714
17,6,0,0.0
17,6,1,0.0
17,6,2,0.8214285714285714
11,0,0,0.0
11,0,1,0.0
11,0,2,0.5357142857142857
22,1,0,0.0
22,1,1,0.0
22,1,2,0.8214285714285714
27,5,0,0.0
27,5,1,0.0
27,5,2,0.6071428571428572
5,5,0,0.0
5,5,1,0.0
5,5,2,0.6785714285714286
30,2,0,0.0
30,2,1,0.0
30,2,2,0.1785714285714286
18,1,0,0.0
18,1,1,0.0
18,1,2,0.6428571428571428
20,6,0,0.0
20,6,1,0.0
20,6,2,0.6071428571428572
20,12,0,0.0
20,12,1,0.0
20,12,2,0.8214285714285714
19,6,0,0.0
19,6,1,0.0
19,6,2,0.7857142857142857
11,5,0,0.0
11,5,1,0.0
