linearity,leniency,index,performance
10,5,1,0.9642857142857143
10,5,2,1.0
17,1,0,0.9642857142857143
17,1,1,0.9642857142857143
17,1,2,0.9642857142857143
2,0,0,0.0
2,0,1,0.0
2,0,2,0.0
5,2,0,0.0
5,2,1,0.0
5,2,2,0.0
14,0,0,0.0
14,0,1,0.0
14,0,2,0.0
11,6,0,0.8571428571428572
11,6,1,0.8571428571428572
11,6,2,2.9642857142857144
5,0,0,0.0
5,0,1,0.0
5,0,2,2.0
2,8,0,0.0
2,8,1,0.0
2,8,2,2.0
1,0,0,0.0
1,0,1,0.0
1,0,2,0.0
1,9,0,0.3571428571428571
1,9,1,0.3571428571428571
1,9,2,0.3571428571428571
8,8,0,0.0
8,8,1,0.0
8,8,2,4.0
5,9,0,0.0
5,9,1,0.0
5,9,2,5.0
8,5,0,0.0
8,5,1,0.0
8,5,2,1.0
8,9,0,2.0
8,9,1,2.0
8,9,2,4.0
5,3,0,0.0
5,3,1,0.0
5,3,2,2.0
12,3,0,0.0
12,3,1,1.0
12,3,2,2.0
8,6,0,1.0
8,6,1,1.0
8,6,2,3.0
9,8,0,2.0
9,8,1,2.0
9,8,2,4.964285714285714
12,0,0,0.0
12,0,1,0.0
12,0,2,2.857142857142857
7,8,0,0.0
7,8,1,1.0
7,8,2,2.0
7,9,0,1.0
7,9,1,1.0
7,9,2,3.0
4,12,0,0.0
4,12,1,0.0
4,12,2,1.0
6,6,0,0.0
6,6,1,0.0
6,6,2,2.0
6,7,0,0.0
6,7,1,0.0
6,7,2,2.0
13,0,0,0.0
13,0,1,0.0
13,0,2,1.0
13,2,0,1.9642857142857142
13,2,1,2.0
13,2,2,2.0
5,7,0,2.0
5,7,1,2.0
5,7,2,2.0
15,3,0,2.0
15,3,1,2.9642857142857144
15,3,2,10.321428571428571
2,14,0,2.0
2,14,1,2.0
2,14,2,2.0
12,8,0,1.9642857142857142
12,8,1,3.0
12,8,2,4.0
10,3,0,0.9642857142857143
10,3,1,1.0
10,3,2,7.928571428571429
7,11,0,0.0
7,11,1,4.0
7,11,2,4.0
7,0,0,2.0
3,7,0,0.0
3,7,1,2.0
3,7,2,3.0
3,11,0,0.0
3,11,1,0.0
3,11,2,2.0
15,5,0,2.0
15,5,1,2.9642857142857144
15,5,2,8.0
4,0,0,0.0
4,0,1,0.0
4,0,2,3.857142857142857
7,7,0,0.0
7,7,1,1.0
7,7,2,0.9642857142857143
12,10,0,4.0
12,10,1,4.964285714285714
12,10,2,10.0
7,10,0,0.0
7,10,1,1.0
7,10,2,4.0
6,12,0,2.0
6,12,1,4.0
6,12,2,4.0
11,12,0,1.0
11,12,1,5.0
11,12,2,3.0
16,4,0,0.9642857142857143
16,4,1,4.0
16,4,2,4.0
8,7,0,0.9642857142857143
8,7,1,1.0
8,7,2,2.9642857142857144
10,12,0,2.0
10,12,1,6.0
10,12,2,10.0
15,4,0,1.9642857142857142
15,4,1,2.0
15,4,2,8.0
11,7,0,1.0
11,7,1,1.8571428571428572
11,7,2,3.321428571428571
2,10,0,0.1071428571428571
2,10,1,0.1071428571428571
2,10,2,6.0
0,7,0,1.0
0,7,1,2.0
0,7,2,2.0
5,11,0,0.0
5,11,1,2.0
5,11,2,4.0
3,15,0,1.0
3,15,1,3.0
3,15,2,2.0
0,8,0,0.0
0,8,1,0.0
0,8,2,6.0
2,9,0,1.0
2,9,1,3.107142857142857
2,9,2,1.0
14,2,0,0.0
14,2,1,0.0
14,2,2,0.0
12,9,0,2.0
12,9,1,3.9642857142857144
12,9,2,4.0
4,9,0,2.0
4,9,1,2.0
4,9,2,5.0
9,9,0,1.0
9,9,1,2.9642857142857144
9,9,2,9.0
6,11,0,3.0
6,11,1,4.0
6,11,2,4.0
5,12,0,0.0
5,12,1,0.0
5,12,2,2.0
8,1,0,0.0
8,1,1,0.9642857142857143
8,1,2,2.9642857142857144
4,11,0,0.0
4,11,1,0.0
4,11,2,3.0
14,4,0,0.0
14,4,1,2.0
14,4,2,4.0
10,7,0,0.0
10,7,1,2.0
10,7,2,1.9642857142857142
1,6,0,2.0
1,6,1,2.0
1,6,2,2.0
2,12,0,0.0
2,12,1,1.0
2,12,2,4.0
16,7,0,4.0
16,7,1,4.964285714285714
6,10,0,0.0
6,10,1,2.0
6,10,2,3.0
12,7,0,0.0
12,7,1,2.0
12,7,2,2.0
17,3,0,1.9642857142857142
17,3,1,1.9642857142857142
17,3,2,6.857142857142857
13,4,0,0.0
13,4,1,2.0
13,4,2,0.0
3,14,0,2.0
3,14,1,3.0
3,14,2,3.0
15,6,0,6.0
10,6,0,2.0
10,6,1,2.0
10,6,2,4.0
12,5,0,0.0
12,5,1,2.0
12,5,2,5.892857142857143
10,10,0,3.0
10,10,1,3.321428571428571
10,10,2,5.928571428571429
13,8,0,1.0
13,8,1,2.0
13,8,2,5.0
18,7,0,3.9642857142857144
18,7,1,5.964285714285714
18,7,2,4.0
1,10,0,2.0
1,10,1,4.0
1,10,2,5.0
15,1,0,0.0
15,1,1,6.857142857142857
14,3,0,0.0
14,3,1,1.6785714285714286
14,3,2,4.857142857142857
4,13,0,2.0
4,13,1,3.0
4,13,2,3.357142857142857
11,8,0,2.0
11,8,1,2.857142857142857
11,8,2,6.0
16,2,0,0.9642857142857143
16,2,1,2.9642857142857144
0,11,0,2.0
0,11,1,2.0
1,7,0,0.0
1,7,1,1.0
1,7,2,2.0
4,14,0,1.1071428571428572
4,14,1,2.0
4,14,2,2.0
1,8,0,0.0
1,8,1,0.0
1,8,2,0.3571428571428571
10,9,0,3.0
10,9,1,3.357142857142857
10,9,2,3.0
14,5,0,2.0
14,5,1,2.0
14,5,2,4.0
2,16,0,2.0
2,16,1,2.0
2,16,2,2.0
20,2,0,3.857142857142857
20,2,1,3.857142857142857
9,6,0,0.0
9,6,1,1.0
9,6,2,2.0
12,11,0,2.0
12,11,1,2.0
12,11,2,3.0
6,13,0,2.0
6,13,1,5.0
6,13,2,2.0
8,12,0,2.0
8,12,1,4.0
8,12,2,12.0
14,12,0,2.0
14,12,1,7.0
14,12,2,7.0
2,13,0,2.0
2,13,1,6.0
2,13,2,6.0
3,16,0,3.0
3,16,1,3.0
3,16,2,3.0
13,7,0,0.0
13,7,1,4.0
13,7,2,5.0
7,12,0,1.0
7,12,1,1.0
7,12,2,4.0
3,10,0,0.0
3,10,1,0.0
3,10,2,5.0
15,8,0,4.0
15,8,1,5.0
15,8,2,7.0
14,8,0,2.0
14,8,1,4.0
14,8,2,2.0
9,12,0,4.0
9,12,1,4.0
9,12,2,7.0
1,13,0,4.0
1,13,1,6.0
11,9,0,4.0
0,9,0,4.0
2,11,0,0.3928571428571429
2,11,1,4.0
2,11,2,9.0
5,13,0,0.0
5,13,1,1.0
3,13,0,0.0
3,13,1,2.9642857142857144
3,13,2,3.0
16,1,0,1.9285714285714286
16,1,1,2.0
16,1,2,2.857142857142857
3,9,0,0.0
3,9,1,4.0
3,9,2,4.0
17,8,0,3.0
17,8,1,5.0
17,8,2,6.0
15,9,0,5.678571428571429
15,9,1,10.0
9,10,0,2.0
9,10,1,3.0
9,10,2,2.0
16,3,0,0.0
16,3,1,0.9642857142857143
16,3,2,4.0
0,10,0,2.0
0,10,1,2.0
8,10,0,1.0
8,10,1,2.0
8,10,2,6.0
10,11,0,6.0
10,11,1,13.0
17,9,0,4.0
17,9,1,5.0
8,11,0,0.0
8,11,1,3.0
8,11,2,4.0
18,4,0,1.0
18,4,1,7.964285714285714
18,4,2,6.964285714285714
11,10,0,4.0
11,10,1,6.0
7,15,0,4.0
7,15,1,4.0
13,5,0,2.0
13,5,1,2.0
13,5,2,7.964285714285714
19,8,0,3.0
19,8,1,3.0
19,8,2,3.0
13,6,0,2.0
13,6,1,4.0
13,6,2,4.0
10,13,0,5.0
17,10,0,4.0
17,10,1,5.0
16,9,0,7.0
16,9,1,8.0
16,9,2,8.0
18,2,0,1.0
18,2,1,4.857142857142857
18,2,2,6.964285714285714
14,10,0,3.0
14,10,1,6.0
14,10,2,9.964285714285714
17,6,0,3.0
17,6,1,6.0
17,6,2,5.964285714285714
13,9,0,8.0
13,9,1,8.0
13,9,2,10.0
2,15,0,4.0
2,15,1,6.0
10,14,0,2.0
10,14,1,5.0
10,14,2,6.0
16,8,0,4.0
16,8,1,6.357142857142857
16,8,2,5.928571428571429
19,6,0,3.0
8,13,0,2.0
8,13,1,5.0
8,16,0,2.0
8,16,1,3.0
8,16,2,5.0
15,7,0,1.0
15,7,1,8.964285714285714
15,7,2,2.0
19,10,0,5.0
17,5,0,3.0
17,5,1,6.0
16,0,0,1.9642857142857142
16,0,1,3.0
16,0,2,7.0
13,10,0,3.0
13,10,1,3.0
11,13,0,3.0
9,13,0,4.0
9,13,1,9.0
9,13,2,9.0
9,11,0,4.0
