density,leniency,index,performance
32,1,0,0.0
32,1,1,0.0
32,1,2,1.7142857142857144
33,1,0,0.0
33,1,1,0.0
33,1,2,1.7857142857142858
34,5,0,0.0
34,5,1,0.0
34,5,2,0.75
27,4,0,0.0
27,4,1,0.0
27,4,2,1.75
38,5,0,0.0
38,5,1,0.2142857142857143
38,5,2,3.75
24,2,0,0.0
24,2,1,0.0
24,2,2,0.8214285714285714
15,3,0,0.0
15,3,1,0.0
15,3,2,0.6071428571428572
24,6,0,0.0
24,6,1,0.0
24,6,2,2.178571428571429
35,4,0,0.0
35,4,1,0.0
35,4,2,3.7857142857142856
15,2,0,0.0
15,2,1,0.0
15,2,2,0.4642857142857143
16,3,0,0.0
16,3,1,0.0
16,3,2,0.25
7,2,0,0.0
7,2,1,0.0
7,2,2,0.6428571428571428
17,4,0,0.0
17,4,1,0.0
17,4,2,0.8214285714285714
18,7,0,0.0
18,7,1,0.0
18,7,2,3.6785714285714284
13,3,0,0.0
13,3,1,0.0
13,3,2,0.7857142857142857
8,2,0,0.0
8,2,1,0.0
8,2,2,0.5357142857142857
11,5,0,0.0
11,5,1,0.0
11,5,2,2.7857142857142856
10,2,0,0.0
10,2,1,0.0
10,2,2,0.4642857142857143
18,2,0,0.0
18,2,1,0.0
18,2,2,0.75
22,1,0,0.0
22,1,1,0.0
22,1,2,0.5714285714285714
33,2,0,0.0
33,2,1,0.0714285714285714
33,2,2,1.5
13,0,0,0.0
13,0,1,0.0
13,0,2,1.4285714285714286
25,3,0,0.0
25,3,1,0.0
25,3,2,0.7142857142857143
26,3,0,0.0
26,3,1,0.0
26,3,2,0.75
16,4,0,0.0
16,4,1,0.0
16,4,2,0.6071428571428572
9,1,0,0.0
9,1,1,0.0
9,1,2,0.5357142857142857
30,3,0,0.0
30,3,1,0.0
30,3,2,1.8214285714285714
19,4,0,0.0
19,4,1,0.0
19,4,2,0.5714285714285714
9,0,0,0.0
9,0,1,0.0
9,0,2,0.8214285714285714
9,3,0,0.0
9,3,1,0.0
9,3,2,1.8214285714285714
25,2,0,0.0
25,2,1,0.0
25,2,2,0.6785714285714286
16,1,0,0.0
16,1,1,0.0
16,1,2,0.6428571428571428
11,0,0,0.0
11,0,1,0.0
11,0,2,0.5357142857142857
7,5,0,0.0
7,5,1,0.0
7,5,2,1.7142857142857144
23,5,0,0.0
23,5,1,0.0
23,5,2,2.4642857142857144
25,0,0,0.0
25,0,1,0.0
25,0,2,1.8214285714285714
11,1,0,0.0
11,1,1,0.0
11,1,2,0.5714285714285714
11,8,0,0.0
11,8,1,0.0
11,8,2,1.6428571428571428
20,7,0,0.0
20,7,1,0.0
20,7,2,2.6785714285714284
9,2,0,0.0
9,2,1,0.0
9,2,2,0.5357142857142857
26,1,0,0.0
26,1,1,0.0
26,1,2,0.4642857142857143
10,3,0,0.0
10,3,1,0.0
10,3,2,1.1785714285714286
21,0,0,0.0
21,0,1,0.0
21,0,2,1.7142857142857144
7,3,0,0.0
7,3,1,0.0
7,3,2,0.8214285714285714
13,2,0,0.0
13,2,1,0.0
